crate,conv,warn/safe,src
dioxus-core-0.3.3,&str>&str,warn,   --> src/create.rs:304:45
dioxus-core-0.3.3,adt>adt,warn,   --> src/create.rs:317:48
dioxus-core-0.3.3,&str>&str,warn,   --> src/create.rs:466:30
dioxus-core-0.3.3,adt>adt,warn,   --> src/create.rs:527:67
dioxus-core-0.3.3,adt>adt,warn,   --> src/create.rs:567:13
dioxus-core-0.3.3,&str>&str,warn,   --> src/diff.rs:179:29
dioxus-core-0.3.3,adt>adt,warn,   --> src/diff.rs:181:30
dioxus-core-0.3.3,adt>adt,warn,   --> src/diff.rs:214:47
dioxus-core-0.3.3,&str>&str,warn,   --> src/diff.rs:319:34
dioxus-core-0.3.3,adt>adt,warn,   --> src/diff.rs:947:45
dioxus-core-0.3.3,&adt>&adt,warn,   --> src/nodes.rs:704:18
dioxus-core-0.3.3,adt>adt,warn,   --> src/nodes.rs:707:18
dioxus-core-0.3.3,&mut adt>&adt,warn,  --> src/scheduler/wait.rs:82:49
dioxus-core-0.3.3,&mut adt>&mut adt,warn,  --> src/scheduler/wait.rs:83:58
dioxus-core-0.3.3,&trait obj>&trait obj,warn,  --> src/scope_arena.rs:71:40
dioxus-core-0.3.3,adt>adt,warn,   --> src/scopes.rs:139:29
dioxus-core-0.3.3,&adt>adt,warn,   --> src/scopes.rs:253:18
dioxus-core-0.3.3,*const adt>*const adt,warn,   --> src/scopes.rs:464:46
dioxus-core-0.3.3,*const adt>*const adt,warn,   --> src/scopes.rs:476:46
dioxus-core-0.3.3,adt>adt,warn,   --> src/scopes.rs:557:65
tinystr-0.7.1,tuple>&&[uint],warn,   --> src/ascii.rs:143:18
tinystr-0.7.1,&[adt]>&[uint],warn,   --> src/ascii.rs:150:18
tinystr-0.7.1,uint>adt,warn,   --> src/ascii.rs:521:38
tinystr-0.7.1,uint>adt,warn,   --> src/ascii.rs:530:21
tinystr-0.7.1,&[adt]>&[uint],warn,  --> src/int_ops.rs:30:40
