vec_map,0.8.2,contain-rs/vec-map
tower-service,0.3.2,tower-rs/tower
object,0.31.1,gimli-rs/object
semver-parser,0.10.2,steveklabnik/semver-parser
same-file,1.0.6,BurntSushi/same-file
glob,0.3.1,rust-lang/glob
quick-error,2.0.1,http://github.com/tailhook/quick-error
httpdate,1.0.2,pyfisch/httpdate
cpufeatures,0.2.7,RustCrypto/utils
num-bigint,0.4.3,rust-num/num-bigint
encoding_rs,0.8.32,hsivonen/encoding_rs
signal-hook-registry,1.4.1,vorner/signal-hook
gimli,0.27.2,gimli-rs/gimli
sha-1,0.10.5,RustCrypto/hashes
hmac,0.12.1,RustCrypto/MACs
subtle,2.5.0,dalek-cryptography/subtle
tracing-attributes,0.1.24,tokio-rs/tracing
rayon,1.7.0,rayon-rs/rayon
openssl,0.10.52,sfackler/rust-openssl
rayon-core,1.11.0,rayon-rs/rayon
reqwest,0.11.18,seanmonstar/reqwest
addr2line,0.20.0,gimli-rs/addr2line
openssl-probe,0.1.5,alexcrichton/openssl-probe
redox_syscall,0.3.5,https://gitlab.redox-os.org/redox-os/syscall
which,4.4.0,harryfei/which-rs.git
foreign-types,0.5.0,sfackler/foreign-types
fastrand,1.9.0,smol-rs/fastrand
foreign-types-shared,0.3.1,sfackler/foreign-types
linked-hash-map,0.5.6,contain-rs/linked-hash-map
paste,1.0.12,dtolnay/paste
rand_hc,0.3.2,rust-random/rngs
regex-automata,0.2.0,BurntSushi/regex-automata
rustls,0.21.1,rustls/rustls
ipnet,2.7.2,krisprice/ipnet
static_assertions,1.1.0,nvzqz/static-assertions-rs
unicase,2.6.0,seanmonstar/unicase
time-macros,0.2.9,time-rs/time
synstructure,0.13.0,mystor/synstructure
bstr,1.5.0,BurntSushi/bstr
native-tls,0.2.11,sfackler/rust-native-tls
winapi-x86_64-pc-windows-gnu,0.4.0,retep998/winapi-rs
untrusted,0.9.0,briansmith/untrusted
ring,0.17.0-alpha.11,briansmith/ring
winapi-i686-pc-windows-gnu,0.4.0,retep998/winapi-rs
sct,0.7.0,ctz/sct.rs
webpki,0.22.0,briansmith/webpki
hermit-abi,0.3.1,hermitcore/rusty-hermit
crypto-mac,0.11.1,RustCrypto/traits
fixedbitset,0.4.2,petgraph/fixedbitset
darling_macro,0.20.1,TedDriggs/darling
darling_core,0.20.1,TedDriggs/darling
darling,0.20.1,TedDriggs/darling
dirs,5.0.1,soc/dirs-rs
petgraph,0.6.3,petgraph/petgraph
libloading,0.8.0,nagisa/rust_libloading/
hyper-tls,0.5.0,hyperium/hyper-tls
crypto-common,0.2.0-pre,RustCrypto/traits
tracing-subscriber,0.3.17,tokio-rs/tracing
num-rational,0.4.1,rust-num/num-rational
jobserver,0.1.26,alexcrichton/jobserver-rs
os_str_bytes,6.5.0,dylni/os_str_bytes
zeroize,1.6.0,RustCrypto/utils/tree/master/zeroize
bumpalo,3.13.0,fitzgen/bumpalo
phf_shared,0.11.1,rust-phf/rust-phf
crossbeam-queue,0.3.8,crossbeam-rs/crossbeam
tokio-rustls,0.24.0,tokio-rs/tls
block-padding,0.3.3,RustCrypto/utils
rand_pcg,0.3.1,rust-random/rand
winapi-util,0.1.5,BurntSushi/winapi-util
wasm-bindgen,0.2.86,rustwasm/wasm-bindgen
wasm-bindgen-backend,0.2.86,rustwasm/wasm-bindgen/tree/master/crates/backend
wasm-bindgen-shared,0.2.86,rustwasm/wasm-bindgen/tree/master/crates/shared
wasm-bindgen-macro,0.2.86,rustwasm/wasm-bindgen/tree/master/crates/macro
wasm-bindgen-macro-support,0.2.86,rustwasm/wasm-bindgen/tree/master/crates/macro-support
